file_name,highest_peak,0_FFT mean coefficient_32,mean,standard_deviation,rms_val,top3_peak,entropy,kurtosis_val,skewness,time_diff,peak_to_peak,,pca_comp_0,pca_comp_1,pca_comp_2,max_frequency
2004.02.12.10.32.39,0.042301537,7.58E-05,0.058332422,0.000742224,0.074178999,0.07452799,4.811388831,0.628762643,0.083993435,0,0.84,,-18582843.01,524654.3673,-926.0705621,123.1809747
2004.02.12.10.32.39,0.042301537,7.34E-05,0.058332422,0.000742224,0.074178999,0.07452799,4.811388831,0.628762643,0.083993435,600,0.757,,-17727419.73,526591.6301,-1029.612954,123.1809747
2004.02.12.10.42.39,0.035461123,6.87E-05,0.058996631,0.000716601,0.075382457,0.059910192,4.835317987,0.648291081,0.052141907,1200,0.903,,-14092069.33,536777.3197,-868.3562902,123.1809747
2004.02.12.10.52.39,0.033780656,5.96E-05,0.060238965,0.000736235,0.076229774,0.064415967,4.848369995,0.513475309,0.032807998,1800,1.184,,-9711970.743,549172.1754,-818.1284254,123.1809747
2004.02.12.11.02.39,0.034969612,8.28E-05,0.061453271,0.000762436,0.078723676,0.063089369,4.873653683,1.157952723,0.041485962,2400,0.782,,-11867516.62,542176.8905,-898.0754858,123.1809747
2004.02.12.11.12.39,0.031890502,7.45E-05,0.061360986,0.000765682,0.078474291,0.068508337,4.875056076,0.603176929,0.028223944,3000,0.805,,-9961016.315,547233.1817,-830.2744357,123.1809747
2004.02.12.11.22.39,0.029377521,8.60E-05,0.061668506,0.000762887,0.078314641,0.064828244,4.876275706,0.456093621,0.026852972,3600,0.796,,-12516041.05,539052.961,-862.1645807,123.3030569
2004.02.12.11.32.39,0.042773081,7.58E-05,0.061943945,0.000778864,0.078632443,0.064930366,4.879118581,0.478614976,0.058594579,4200,0.749,,-13106170.15,536702.1047,-879.3928674,123.1809747
2004.02.12.11.42.39,0.037877642,5.35E-05,0.061231348,0.000769883,0.07777288,0.06620135,4.868513274,0.471982455,0.082581818,4800,0.747,,-10940012.79,542528.603,-853.8228078,123.1809747
2004.02.12.11.52.39,0.036530004,5.02E-05,0.062281348,0.000783831,0.07902943,0.068828781,4.886081197,0.404514321,-0.008060294,5400,0.722,,-13111776.85,535485.7079,-794.253866,123.3030569
2004.02.12.12.02.39,0.030253588,5.68E-05,0.059892822,0.0007535,0.07571756,0.067796036,4.843981496,0.325203315,0.046321067,6000,0.815,,-10970086.83,541239.446,-838.443905,123.3030569
